name category
freeform_beer_bottle 11
freeform_champagne_bottle 11
freeform_wine_bottle 11
freeform_booze_bottle 11
freeform_bowl 7
freeform_bowl2 7
freeform_bowl3 7
freeform_glass_cognac 2
freeform_glass_champagne 2
freeform_martini_glass 2
freeform_cocktail_glass 2
freeform_wine_glass 2
freeform_common_hammer 10
freeform_wide_hammer 10
freeform_claw_hammer 10
freeform_bread_knife 4
freeform_vegetable_knife 4
freeform_hunting_knife 4
freeform_butter_knife 4
freeform_butcher_knife 4
freeform_butcher_knife_two 4
freeform_frying_pan 6
freeform_old_frying_pan 6
freeform_tinpan 6
freeform_griddle 6
freeform_pan_long 6
freeform_thin_screwdriver 9
freeform_thick_screwdriver 9
freeform_screwdriver_big 9
freeform_screwdriver_small 9
freeform_screwdriver_big_two 9
freeform_mug_ikea 1
freeform_mug_short 1
freeform_mug_large 1
freeform_can_square 3	
freeform_can_rounded 3
freeform_can_ellipsoid 3
freeform_soupladdle 8
freeform_shovel 8
freeform_pot_long 5
freeform_pot_short 5
